азбука - Средство начального обучения {Средство} 	 type:NAN
алоэ - растение семейства лилейных {растение} 	 type:NNA 
альянс - Объединение отдельных лиц {Объединение} 	 type:NAN
амнистия - снятие судебного наказания {снятие} 	 type:NAN
архиерей - Священнослужитель высшей (3-й {Священнослужитель} 	 type:NAN
безделье - Отсутствие полезного дела {Отсутствие} 	 type:NAN
бездушие - Отсутствие душевной теплоты {Отсутствие} 	 type:NAN
безнравственность - Отсутствие нравственных устоев {Отсутствие} 	 type:NAN
бережливость - Качество человека осторожного {Качество} 	 type:NNA 
беспокойство - Состояние нервного возбуждения {Состояние} 	 type:NAN
беспорядочный - логических связей стройности {связей} 	 type:ANN 
библия - Собрание священных книг {Собрание} 	 type:NAN
благотворительность - Оказание материальной помощи {Оказание} 	 type:NAN
бог - объект религиозной веры {объект} 	 type:NAN
богатство - Состояние хозяйства финансовых дел {Состояние} 	 type:NNAN 
божница - Предмет религиозного быта {Предмет} 	 type:NAN
бокал - Сосуд из стекла {Сосуд} 	 type:NPN
болезнь - Нарушение нормальной жизнедеятельности {Нарушение} 	 type:NAN
бомбардировка - удары авиации ракетных установок {удары} 	 type:NNAN 
ботинки - невысокой уличной обуви {обуви} 	 type:AAN 
бревно - снаряд для упражнений {снаряд} 	 type:NPN
броня - обшивка танков военных кораблей {обшивка} 	 type:NNAN 
броня - защитная обшивка танков {обшивка} 	 type:ANN 
брюзжание - надоедливое выражение недовольства {выражение} 	 type:ANN 
бутылка - Сосуд из стекла {Сосуд} 	 type:NPN
бык - животное отряда крупных парнокопытных {животное} 	 type:NNAN 
бык - рогатое животное отряда {животное} 	 type:ANN 
валенки - зимней мягкой обуви {обуви} 	 type:AAN 
вдохновение - Состояние творческого подъёма {Состояние} 	 type:NAN
веки - Части глаз живого существа {Части} 	 type:NNAN 
велосипед - колёсное транспортное средство {средство} 	 type:AAN 
венчик - Предмет кухонной утвари {Предмет} 	 type:NAN
вереница - ряд существ однородных предметов {ряд} 	 type:NNAN 
веселье - Состояние радостного оживления {Состояние} 	 type:NAN
веха - важный основной период {период} 	 type:AAN 
веха - основной период времени {период} 	 type:ANN 
вещь - изделие (бытового обихода {изделие} 	 type:NAN
вещь - предмет из числа {предмет} 	 type:NPN
витютень - дикий лесной голубь {голубь} 	 type:AAN 
властолюбие - Любовь к власти {Любовь} 	 type:NPN
влюблённость - Чувство легкой любви {Чувство} 	 type:NAN
внутренности - Совокупность органов живого существа {Совокупность} 	 type:NNAN 
возбуждение - Состояние нервного подъёма {Состояние} 	 type:NAN
возвышенность - Участок земной поверхности {Участок} 	 type:NAN
войско - Совокупность вооружённых сил {Совокупность} 	 type:NAN
волк - животное семейства псовых {животное} 	 type:NNA 
волк - хищное животное семейства {животное} 	 type:ANN 
волосы - роговые нитевидные образования {образования} 	 type:AAN 
воодушевление - Состояние душевного подъёма {Состояние} 	 type:NAN
воспоминания - воспроизведение в памяти {воспроизведение} 	 type:NPN
восторг - подъём радостных чувств {подъём} 	 type:NAN
вулкан - возвышенность конической формы {возвышенность} 	 type:NAN
вывод - Результат логического анализа {Результат} 	 type:NAN
выключатель - Устройство для замыкания {Устройство} 	 type:NPN
вырезка - Мясо высшего сорта {Мясо} 	 type:NAN
глаза - орган зрения живого существа {орган} 	 type:NNAN 
гордость - Чувство собственного достоинства {Чувство} 	 type:NAN
горшок - ёмкость из металла {ёмкость} 	 type:NPN
гребёнка - Приспособление для расчёсывания {Приспособление} 	 type:NPN
гримаса - непроизвольное искажение выражения {искажение} 	 type:ANN 
гробница - Сооружение из камня {Сооружение} 	 type:NPN
грусть - Чувство лёгкой скорби {Чувство} 	 type:NAN
дар - степень природной одарённости {степень} 	 type:NAN
дары - Святыня у христиан {Святыня} 	 type:NPN
дикарь - некультурном невежественном человеке {человеке} 	 type:AAN 
динамометр - Прибор для измерения {Прибор} 	 type:NPN
довольство - Чувство внутреннего удовольствия {Чувство} 	 type:NAN
доклад - письменное официальное сообщение {сообщение} 	 type:AAN 
долина - Место понижения земной поверхности {Место} 	 type:NNAN 
доллар - знак в США {знак} 	 type:NPN
драматургия - Совокупность драматических произведений {Совокупность} 	 type:NAN
дрожь - судорожное вздрагивание тела {вздрагивание} 	 type:ANN 
дрожь - судорожное сокращение мышц {сокращение} 	 type:ANN 
дрожь - судорожное сокращение мышц {сокращение} 	 type:ANN 
дурак - тупой упрямый человек {человек} 	 type:AAN 
дьячок - Служитель православной церкви {Служитель} 	 type:NAN
жалость - Чувство душевной боли {Чувство} 	 type:NAN
жестокость - жестокий беспощадный поступок {поступок} 	 type:AAN 
жизнь - состояние живого существа {состояние} 	 type:NAN
жнейка - Машина для скашивания {Машина} 	 type:NPN
забастовка - массовое прекращение работы {прекращение} 	 type:ANN 
закусочная - Предприятие общественного питания {Предприятие} 	 type:NAN
замазка - вещество для заделывания {вещество} 	 type:NPN
замок - Приспособление для запирания {Приспособление} 	 type:NPN
заяц - пушистый пугливый зверёк {зверёк} 	 type:AAN 
заяц - пугливый зверёк отряда {зверёк} 	 type:ANN 
зернохранилище - помещение для хранения {помещение} 	 type:NPN
злоба - Чувство гневного раздражения {Чувство} 	 type:NAN
зловоние - неприятный отвратительный запах {запах} 	 type:AAN 
злословие","злословье - враждебная оценка кого {оценка} 	 type:ANN 
злость - Чувство сильного раздражения {Чувство} 	 type:NAN
икона - Предмет религиозного почитания {Предмет} 	 type:NAN
икона - Произведение изобразительного искусства {Произведение} 	 type:NAN
иллюстрация - Произведение изобразительного искусства {Произведение} 	 type:NAN
имущество - предметы быта личного обихода {предметы} 	 type:NNAN 
интроспекция - Метод изучения психических процессов {Метод} 	 type:NNAN 
истерия - лихорадочная судорожная деятельность {деятельность} 	 type:AAN 
истерия - пристрастное выражение чего-либо {выражение} 	 type:ANN 
календула - растение семейства сложноцветных {растение} 	 type:NNA 
календула - садовое травянистое растение {растение} 	 type:AAN 
календула - травянистое растение семейства {растение} 	 type:ANN 
каморка - помещение для жилья {помещение} 	 type:NPN
капище - Сооружение культового назначения {Сооружение} 	 type:NAN
каприз - необоснованное своенравное желание {желание} 	 type:AAN 
каприз - своенравное желание требование {желание} 	 type:ANN 
картина - Произведение изобразительного искусства {Произведение} 	 type:NAN
кладовая - Помещение без окон {Помещение} 	 type:NPN
клевер - растение семейства бобовых {растение} 	 type:NNA 
клевер - кормовое растение семейства {растение} 	 type:ANN 
козни - Действия против кого-либо {Действия} 	 type:NPN
колдовство - Система магических приёмов {Система} 	 type:NAN
компакт-диск - Диск небольшого диаметра {Диск} 	 type:NAN
кораблестроитель - Специалист в области {Специалист} 	 type:NPN
корова - животное отряда крупных парнокопытных {животное} 	 type:NNAN 
корова - рогатое животное отряда {животное} 	 type:ANN 
коротышка - Человек невысокого роста {Человек} 	 type:NAN
красавица - хорошенькая миловидная женщина {женщина} 	 type:AAN 
крещение - основных православных праздников {праздников} 	 type:AAN 
крик - напряженный звук голоса {звук} 	 type:ANN 
крик - резкий звук голоса {звук} 	 type:ANN 
крокодил - хищное водное пресмыкающееся {пресмыкающееся} 	 type:AAN 
кружка - Сосуд из стекла {Сосуд} 	 type:NPN
кулик - птица семейства ржанковых {птица} 	 type:NNA 
кулик - болотная птица семейства {птица} 	 type:ANN 
культура - Совокупность достижений человеческого общества {Совокупность} 	 type:NNAN 
кулёк - вместилище из бумаги {вместилище} 	 type:NPN
курица - птицы отряда куриных {птицы} 	 type:NNA 
курица - домашней птицы отряда {птицы} 	 type:ANN 
кусачки - щипцы для откусывания {щипцы} 	 type:NPN
ласточка - птица отряда воробьиных {птица} 	 type:NNA 
лексикограф - Специалист в области {Специалист} 	 type:NPN
леопард - хищное млекопитающее семейства {млекопитающее} 	 type:ANN 
лесть - угодливое восхваление кого-либо {восхваление} 	 type:ANN 
лисица - млекопитающее семейства псовых {млекопитающее} 	 type:NNA 
ловушка - Приспособление для ловли {Приспособление} 	 type:NPN
ловушка - расположение воинского подразделения {расположение} 	 type:NAN
луг - Участок земной поверхности {Участок} 	 type:NAN
любовь - Чувство глубокой привязанности {Чувство} 	 type:NAN
малиновка - птица семейства дроздовых {птица} 	 type:NNA 
малиновка - певчая птица семейства {птица} 	 type:ANN 
манёвры","маневры - занятия различных родов {занятия} 	 type:NAN
маслина - дерево семейства масличных {дерево} 	 type:NNA 
маслина - вечнозеленое плодовое дерево {дерево} 	 type:AAN 
маслина - плодовое дерево семейства {дерево} 	 type:ANN 
медведь - хищное всеядное млекопитающее {млекопитающее} 	 type:AAN 
метель - порывистый холодный ветер {ветер} 	 type:AAN 
метро - подземная железная дорога {дорога} 	 type:AAN 
мина - подводный разрывной снаряд {снаряд} 	 type:AAN 
молодёжь - Совокупность молодых людей {Совокупность} 	 type:NAN
монастырь - Комплекс сооружений богослужебных {Комплекс} 	 type:NNA 
морг - Помещение для покойников {Помещение} 	 type:NPN
мухобойка - Приспособление для уничтожения {Приспособление} 	 type:NPN
набег - действия небольших отрядов {действия} 	 type:NAN
наживка - Приманка для рыбы {Приманка} 	 type:NPN
напряжённность - интенсивное протекание эмоций {протекание} 	 type:ANN 
напряжённость - неспокойное нервное состояние {состояние} 	 type:AAN 
нарыв - гнойное воспаление ткани {воспаление} 	 type:ANN 
насыпь - возвышение из земли {возвышение} 	 type:NPN
неблагородство - Отсутствие благородства хорошего воспитания {Отсутствие} 	 type:NNAN 
негодяй - нравственном отношении человек {отношении} 	 type:ANN 
недостача - Отсутствие нужного количества {Отсутствие} 	 type:NAN
