абаз - мелкая серебряная монета {монета} 	 type:AAN 
абвер - Орган военной разведки {Орган} 	 type:NAN
абиссинцы - Население Абиссинии (современной Эфиопии {Население} 	 type:NNAN 
аборигены - коренных жителей страны {жителей} 	 type:ANN 
аборт - искусственное прерывание беременности {прерывание} 	 type:ANN 
абсент - Настойка на полыни {Настойка} 	 type:NPN
абстракт - Произведение абстрактного искусства {Произведение} 	 type:NAN
абсцесс - гнойное воспаление ткани {воспаление} 	 type:ANN 
абшид - Увольнение со службы {Увольнение} 	 type:NPN
август - месяца календарного года {месяца} 	 type:NAN
авиагоризонт - прибор для определения {прибор} 	 type:NPN
авиадесантник - Военнослужащий воздушно-десантных войск {Военнослужащий} 	 type:NAN
авиаконструктор - Конструктор летательных аппаратов {Конструктор} 	 type:NAN
авиалиния - Маршрут регулярных полетов {Маршрут} 	 type:NAN
авиамодель - Модель летательного аппарата {Модель} 	 type:NAN
авиамотор - Двигатель летательного аппарата {Двигатель} 	 type:NAN
авиапассажир - Пассажир воздушного транспорта {Пассажир} 	 type:NAN
авиасалон - Выставка новых моделей {Выставка} 	 type:NAN
авиатор - Специалист в области {Специалист} 	 type:NPN
авокадо - дерево семейства лавровых {дерево} 	 type:NNA 
авокадо - вечнозеленое дерево семейства {дерево} 	 type:ANN 
авоська - сумка для продуктов {сумка} 	 type:NPN
аврора - Богиня утренней зари {Богиня} 	 type:NAN
автобус - автомобиль для перевозки {автомобиль} 	 type:NPN
автовесы - Весы для взвешивания {Весы} 	 type:NPN
автодорожник - Специалист в области {Специалист} 	 type:NPN
автокар - тележка для перевозки {тележка} 	 type:NPN
автоматизация - Применение технических средств {Применение} 	 type:NAN
автомашинист - устройство для управления {устройство} 	 type:NPN
автомобилестроитель - Специалист в области {Специалист} 	 type:NPN
автомотоклуб - Клуб любителей автомобильного {Клуб} 	 type:NNA 
автоплатформа - Автомобиль без бортов {Автомобиль} 	 type:NPN
автопокрышка - Покрышка автомобильной шины {Покрышка} 	 type:NAN
автореферат - изложение содержания научного произведения {изложение} 	 type:NNAN 
авторефрижератор - Автомобиль для перевозки {Автомобиль} 	 type:NPN
авторучка - Ручка для письма {Ручка} 	 type:NPN
автосалон - Выставка новых моделей {Выставка} 	 type:NAN
автотипия - способ воспроизведения полутоновых изображений {способ} 	 type:NNAN 
автотранспортник - Работник автомобильного транспорта {Работник} 	 type:NAN
автотягач - Автомобиль для буксировки {Автомобиль} 	 type:NPN
автохтоны - коренного населения какой {населения} 	 type:ANN 
автоцементовоз - автомобиль для перевозки {автомобиль} 	 type:NPN
агальматолит - мягкая мелкозернистая порода {порода} 	 type:AAN 
агамы - Семейство крупных ящериц {Семейство} 	 type:NAN
агглютинация - Способ образования производных слов {Способ} 	 type:NNAN 
агитбригада - профессиональный концертный коллектив {коллектив} 	 type:AAN 
агломерат - скопления обломков горных пород {скопления} 	 type:NNAN 
агломерация - Слияние населенных пунктов {Слияние} 	 type:NAN
агломерация - обработка мелкой руды {обработка} 	 type:NAN
аграмант - тесьма для украшения {тесьма} 	 type:NPN
аграрий - Специалист в области {Специалист} 	 type:NPN
агрессины - Продукты жизнедеятельности болезнетворных микробов {Продукты} 	 type:NNAN 
агрокультура - Совокупность технологических приемов {Совокупность} 	 type:NAN
агролесомелиоратор - Специалист в области {Специалист} 	 type:NPN
агролесомелиорация - Система лесоводческих мероприятий {Система} 	 type:NAN
агромелиоратор - Специалист в области {Специалист} 	 type:NPN
агромелиорация - Система мелиоративных мероприятий {Система} 	 type:NAN
агроном - Специалист в области {Специалист} 	 type:NPN
агротехник - Специалист в области {Специалист} 	 type:NPN
агрофизик - Специалист в области {Специалист} 	 type:NPN
агрохимик - Специалист в области {Специалист} 	 type:NPN
адаптивность - Способность к адаптации {Способность} 	 type:NPN
адаптометр - Прибор для измерения {Прибор} 	 type:NPN
адат - условиях первобытно-общинного строя {условиях} 	 type:NAN
адвекция - Перенос воздушной массы {Перенос} 	 type:NAN
аденоиды - Разрастания носоглоточных миндалин {Разрастания} 	 type:NAN
адинамия - Снижение двигательной активности {Снижение} 	 type:NAN
администрация - Система органов исполнительной {Система} 	 type:NNA 
адонис - растение семейства лютиковых {растение} 	 type:NNA 
адонис - многолетнее травянистое растение {растение} 	 type:AAN 
адонис - травянистое растение семейства {растение} 	 type:ANN 
адреналин - Гормон мозгового слоя {Гормон} 	 type:NAN
адряс - персидская полушелковая ткань {ткань} 	 type:AAN 
адсорбент - Вещество на поверхности {Вещество} 	 type:NPN
адъютантство - Пребывание в должности {Пребывание} 	 type:NPN
ажгон - растение семейства зонтичных {растение} 	 type:NNA 
ажио - Превышение рыночного курса {Превышение} 	 type:NAN
ажур - Ведение бухгалтерского учета {Ведение} 	 type:NAN
азиатчина - Элементы культурной отсталости {Элементы} 	 type:NAN
азональность - Распространение какого природного явления {Распространение} 	 type:NNAN 
